function,slot,fixed,sentinel,symbolic
gck_session_derive_key_full,3,,,
gck_session_derive_key_full,4,,,
gck_session_encrypt,0,,,
gck_session_encrypt,1,,,
gck_session_encrypt,2,,,
gck_session_encrypt,3,,,
gck_session_encrypt,4,,,
gck_session_encrypt,5,,,
gck_session_encrypt,6,,,
gck_session_encrypt_async,0,,,
gck_session_encrypt_async,1,,,
gck_session_encrypt_async,2,,,
gck_session_encrypt_async,3,,,4
gck_session_encrypt_async,4,,,
gck_session_encrypt_async,5,,,
gck_session_encrypt_async,6,,,
gck_session_encrypt_async,7,,,
gck_session_encrypt_finish,0,,,
gck_session_encrypt_finish,1,,,
gck_session_encrypt_finish,2,,,
gck_session_encrypt_full,0,,,
gck_session_encrypt_full,1,,,
gck_session_encrypt_full,2,,,
gck_session_encrypt_full,3,,,3
gck_session_encrypt_full,4,,,
gck_session_encrypt_full,5,,,
gck_session_encrypt_full,6,,,
gck_session_enumerate_objects,0,,,
gck_session_enumerate_objects,1,,,
gck_session_find_handles,0,,,
gck_session_find_handles,1,,,
gck_session_find_handles,2,,,
gck_session_find_handles,3,,,
gck_session_find_handles_async,0,,,
gck_session_find_handles_async,1,,,
gck_session_find_handles_async,2,,,
gck_session_find_handles_async,3,,,
gck_session_find_handles_async,4,,,
gck_session_find_handles_finish,0,,,
gck_session_find_handles_finish,1,,,
gck_session_find_handles_finish,2,,,
gck_session_find_objects,0,,,
gck_session_find_objects,1,,,
gck_session_find_objects,2,,,
gck_session_find_objects_async,0,,,
gck_session_find_objects_async,1,,,
gck_session_find_objects_async,2,,,
gck_session_find_objects_async,3,,,
gck_session_find_objects_async,4,,,
gck_session_find_objects_finish,0,,,
gck_session_find_objects_finish,1,,,
gck_session_from_handle,0,,,
gck_session_from_handle,1,,,
gck_session_from_handle,2,,,
gck_session_generate_key_pair,0,,,
gck_session_generate_key_pair,1,,,
gck_session_generate_key_pair,2,,,
gck_session_generate_key_pair,3,,,
gck_session_generate_key_pair,4,,,
gck_session_generate_key_pair,5,,,
gck_session_generate_key_pair,6,,,
gck_session_generate_key_pair_async,0,,,
gck_session_generate_key_pair_async,1,,,
gck_session_generate_key_pair_async,2,,,
gck_session_generate_key_pair_async,3,,,
gck_session_generate_key_pair_async,4,,,
gck_session_generate_key_pair_async,5,,,
gck_session_generate_key_pair_async,6,,,
gck_session_generate_key_pair_finish,0,,,
gck_session_generate_key_pair_finish,1,,,
gck_session_generate_key_pair_finish,2,,,
gck_session_generate_key_pair_finish,3,,,
gck_session_generate_key_pair_full,0,,,
gck_session_generate_key_pair_full,1,,,
gck_session_generate_key_pair_full,2,,,
gck_session_generate_key_pair_full,3,,,
gck_session_generate_key_pair_full,4,,,
gck_session_generate_key_pair_full,5,,,
gck_session_generate_key_pair_full,6,,,
gck_session_get_handle,0,,,
gck_session_get_info,0,,,
gck_session_get_interaction,0,,,
gck_session_get_module,0,,,
gck_session_get_options,0,,,
gck_session_get_slot,0,,,
gck_session_get_state,0,,,
gck_session_info_copy,0,,,
gck_session_info_free,0,,,
gck_session_init_pin,0,,,
gck_session_init_pin,1,,,
gck_session_init_pin,2,,,
gck_session_init_pin,3,,,
gck_session_init_pin_async,0,,,
gck_session_init_pin_async,1,,,2
gck_session_init_pin_async,2,,,
gck_session_init_pin_async,3,,,
gck_session_init_pin_async,4,,,
gck_session_init_pin_async,5,,,
gck_session_init_pin_finish,0,,,
gck_session_init_pin_finish,1,,,
gck_session_login,0,,,
gck_session_login,1,,,
gck_session_login,2,,,
gck_session_login,3,,,
gck_session_login,4,,,
gck_session_login_async,0,,,
gck_session_login_async,1,,,
gck_session_login_async,2,,,3
gck_session_login_async,3,,,
gck_session_login_async,4,,,
gck_session_login_async,5,,,
gck_session_login_async,6,,,
gck_session_login_finish,0,,,
gck_session_login_finish,1,,,
gck_session_login_interactive,0,,,
gck_session_login_interactive,1,,,
gck_session_login_interactive,2,,,
gck_session_login_interactive,3,,,
gck_session_login_interactive_async,0,,,
gck_session_login_interactive_async,1,,,
gck_session_login_interactive_async,2,,,
gck_session_login_interactive_async,3,,,
gck_session_login_interactive_async,4,,,
gck_session_login_interactive_async,5,,,
gck_session_login_interactive_finish,0,,,
gck_session_login_interactive_finish,1,,,
gck_session_logout,0,,,
gck_session_logout,1,,,
gck_session_logout_async,0,,,
gck_session_logout_async,1,,,
gck_session_logout_async,2,,,
gck_session_logout_async,3,,,
gck_session_logout_finish,0,,,
gck_session_logout_finish,1,,,
gck_session_open,0,,,
gck_session_open,1,,,
gck_session_open,2,,,
gck_session_open,3,,,
gck_session_open_async,0,,,
gck_session_open_async,1,,,
gck_session_open_async,2,,,
gck_session_open_async,3,,,
gck_session_open_async,4,,,
gck_session_open_async,5,,,
gck_session_open_finish,0,,,
gck_session_set_interaction,0,,,
gck_session_set_interaction,1,,,
gck_session_set_pin,0,,,
gck_session_set_pin,1,,,
gck_session_set_pin,2,,,
gck_session_set_pin,3,,,
gck_session_set_pin,4,,,
gck_session_set_pin,5,,,
gck_session_set_pin_async,0,,,
gck_session_set_pin_async,1,,,2
gck_session_set_pin_async,2,,,
gck_session_set_pin_async,3,,,4
gck_session_set_pin_async,4,,,
gck_session_set_pin_async,5,,,
gck_session_set_pin_async,6,,,
gck_session_set_pin_async,7,,,
gck_session_set_pin_finish,0,,,
gck_session_set_pin_finish,1,,,
gck_session_sign,0,,,
gck_session_sign,1,,,
gck_session_sign,2,,,
gck_session_sign,3,,,
gck_session_sign,4,,,
gck_session_sign,5,,,
gck_session_sign,6,,,
gck_session_sign_async,0,,,
gck_session_sign_async,1,,,
gck_session_sign_async,2,,,
gck_session_sign_async,3,,,4
gck_session_sign_async,4,,,
gck_session_sign_async,5,,,
gck_session_sign_async,6,,,
gck_session_sign_async,7,,,
gck_session_sign_finish,0,,,
gck_session_sign_finish,1,,,
gck_session_sign_finish,2,,,
gck_session_sign_full,0,,,
gck_session_sign_full,1,,,
gck_session_sign_full,2,,,
gck_session_sign_full,3,,,
gck_session_sign_full,4,,,
gck_session_sign_full,5,,,
gck_session_sign_full,6,,,
gck_session_unwrap_key,0,,,
gck_session_unwrap_key,1,,,
gck_session_unwrap_key,2,,,
gck_session_unwrap_key,3,,,
gck_session_unwrap_key,4,,,
gck_session_unwrap_key,5,,,
gck_session_unwrap_key,6,,,
gck_session_unwrap_key_async,0,,,
gck_session_unwrap_key_async,1,,,
gck_session_unwrap_key_async,2,,,
gck_session_unwrap_key_async,3,,,
gck_session_unwrap_key_async,4,,,
gck_session_unwrap_key_async,5,,,
gck_session_unwrap_key_async,6,,,
gck_session_unwrap_key_async,7,,,
gck_session_unwrap_key_async,8,,,
gck_session_unwrap_key_finish,0,,,
gck_session_unwrap_key_finish,1,,,
gck_session_unwrap_key_full,0,,,
gck_session_unwrap_key_full,1,,,
gck_session_unwrap_key_full,2,,,
gck_session_unwrap_key_full,3,,,
gck_session_unwrap_key_full,4,,,
gck_session_unwrap_key_full,5,,,
gck_session_unwrap_key_full,6,,,
gck_session_verify,0,,,
gck_session_verify,1,,,
gck_session_verify,2,,,
gck_session_verify,3,,,
gck_session_verify,4,,,
gck_session_verify,5,,,
gck_session_verify,6,,,
gck_session_verify,7,,,
gck_session_verify_async,0,,,
gck_session_verify_async,1,,,
gck_session_verify_async,2,,,
gck_session_verify_async,3,,,4
gck_session_verify_async,4,,,
gck_session_verify_async,5,,,6
gck_session_verify_async,6,,,
gck_session_verify_async,7,,,
gck_session_verify_async,8,,,
gck_session_verify_async,9,,,
gck_session_verify_finish,0,,,
gck_session_verify_finish,1,,,
gck_session_verify_full,0,,,
gck_session_verify_full,1,,,
gck_session_verify_full,2,,,
gck_session_verify_full,3,,,3
gck_session_verify_full,4,,,
gck_session_verify_full,5,,,5
gck_session_verify_full,6,,,
gck_session_verify_full,7,,,
gck_session_wrap_key,0,,,
gck_session_wrap_key,1,,,
gck_session_wrap_key,2,,,
gck_session_wrap_key,3,,,
gck_session_wrap_key,4,,,
gck_session_wrap_key,5,,,
gck_session_wrap_key_async,0,,,
gck_session_wrap_key_async,1,,,
gck_session_wrap_key_async,2,,,
gck_session_wrap_key_async,3,,,
gck_session_wrap_key_async,4,,,
gck_session_wrap_key_async,5,,,
gck_session_wrap_key_async,6,,,
gck_session_wrap_key_finish,0,,,
gck_session_wrap_key_finish,1,,,
gck_session_wrap_key_finish,2,,,
gck_session_wrap_key_full,0,,,
gck_session_wrap_key_full,1,,,
gck_session_wrap_key_full,2,,,
gck_session_wrap_key_full,3,,,
gck_session_wrap_key_full,4,,,
gck_session_wrap_key_full,5,,,
gck_slot_enumerate_objects,0,,,
gck_slot_enumerate_objects,1,,,
gck_slot_enumerate_objects,2,,,
gck_slot_equal,0,,,
gck_slot_equal,1,,,
gck_slot_from_handle,0,,,
gck_slot_from_handle,1,,,
gck_slot_get_handle,0,,,
gck_slot_get_info,0,,,
gck_slot_get_mechanism_info,0,,,
gck_slot_get_mechanism_info,1,,,
gck_slot_get_mechanisms,0,,,
gck_slot_get_module,0,,,
gck_slot_get_token_info,0,,,
gck_slot_has_flags,0,,,
gck_slot_has_flags,1,,,
gck_slot_hash,0,,,
gck_slot_info_copy,0,,,
gck_slot_info_free,0,,,
gck_slot_match,0,,,
gck_slot_match,1,,,
gck_slot_open_session,0,,,
gck_slot_open_session,1,,,
gck_slot_open_session,2,,,
gck_slot_open_session_async,0,,,
gck_slot_open_session_async,1,,,
gck_slot_open_session_async,2,,,
gck_slot_open_session_async,3,,,
gck_slot_open_session_async,4,,,
gck_slot_open_session_finish,0,,,
gck_slot_open_session_finish,1,,,
gck_slot_open_session_full,0,,,
gck_slot_open_session_full,1,,,
gck_slot_open_session_full,2,,,
gck_slot_open_session_full,3,,,
gck_slot_open_session_full,4,,,
gck_slot_open_session_full,5,,,
gck_slot_open_session_full_async,0,,,
gck_slot_open_session_full_async,1,,,
gck_slot_open_session_full_async,2,,,
gck_slot_open_session_full_async,3,,,
gck_slot_open_session_full_async,4,,,
gck_slot_open_session_full_async,5,,,
gck_slot_open_session_full_async,6,,,
gck_slot_open_session_full_async,7,,,
gck_slots_enumerate_objects,0,,,
gck_slots_enumerate_objects,1,,,
gck_slots_enumerate_objects,2,,,
gck_string_from_chars,0,,,1
gck_string_from_chars,1,,,
gck_string_to_chars,0,,,
gck_string_to_chars,1,,,
gck_string_to_chars,2,,NUL,
gck_token_info_copy,0,,,
gck_token_info_free,0,,,
gck_uri_build,0,,,
gck_uri_build,1,,,
gck_uri_data_copy,0,,,
gck_uri_data_free,0,,,
gck_uri_parse,0,,NUL,
gck_uri_parse,1,,,
gck_value_to_boolean,0,,,
gck_value_to_boolean,1,,,
gck_value_to_boolean,2,,,
gck_value_to_ulong,0,,,
gck_value_to_ulong,1,,,
gck_value_to_ulong,2,,,
