function,slot,fixed,sentinel,symbolic
tp_account_request_set_enabled,0,,,
tp_account_request_set_enabled,1,,,
tp_account_request_set_icon_name,0,,,
tp_account_request_set_icon_name,1,,NUL,
tp_account_request_set_nickname,0,,,
tp_account_request_set_nickname,1,,NUL,
tp_account_request_set_parameter,0,,,
tp_account_request_set_parameter,1,,NUL,
tp_account_request_set_parameter,2,,,
tp_account_request_set_parameter_string,0,,,
tp_account_request_set_parameter_string,1,,NUL,
tp_account_request_set_parameter_string,2,,NUL,
tp_account_request_set_requested_presence,0,,,
tp_account_request_set_requested_presence,1,,,
tp_account_request_set_requested_presence,2,,NUL,
tp_account_request_set_requested_presence,3,,NUL,
tp_account_request_set_service,0,,,
tp_account_request_set_service,1,,NUL,
tp_account_request_set_storage_provider,0,,,
tp_account_request_set_storage_provider,1,,NUL,
tp_account_request_unset_parameter,0,,,
tp_account_request_unset_parameter,1,,,
tp_account_set_automatic_presence_async,0,,,
tp_account_set_automatic_presence_async,1,,,
tp_account_set_automatic_presence_async,2,,,
tp_account_set_automatic_presence_async,3,,,
tp_account_set_automatic_presence_async,4,,,
tp_account_set_automatic_presence_async,5,,,
tp_account_set_automatic_presence_finish,0,,,
tp_account_set_automatic_presence_finish,1,,,
tp_account_set_avatar_async,0,,,
tp_account_set_avatar_async,1,,,
tp_account_set_avatar_async,2,,,
tp_account_set_avatar_async,3,,NUL,
tp_account_set_avatar_async,4,,,
tp_account_set_avatar_async,5,,,
tp_account_set_avatar_finish,0,,,
tp_account_set_avatar_finish,1,,,
tp_account_set_connect_automatically_async,0,,,
tp_account_set_connect_automatically_async,1,,,
tp_account_set_connect_automatically_async,2,,,
tp_account_set_connect_automatically_async,3,,,
tp_account_set_connect_automatically_finish,0,,,
tp_account_set_connect_automatically_finish,1,,,
tp_account_set_display_name_async,0,,,
tp_account_set_display_name_async,1,,NUL,
tp_account_set_display_name_async,2,,,
tp_account_set_display_name_async,3,,,
tp_account_set_display_name_finish,0,,,
tp_account_set_display_name_finish,1,,,
tp_account_set_enabled_async,0,,,
tp_account_set_enabled_async,1,,,
tp_account_set_enabled_async,2,,,
tp_account_set_enabled_async,3,,,
tp_account_set_enabled_finish,0,,,
tp_account_set_enabled_finish,1,,,
tp_account_set_icon_name_async,0,,,
tp_account_set_icon_name_async,1,,NUL,
tp_account_set_icon_name_async,2,,,
tp_account_set_icon_name_async,3,,,
tp_account_set_icon_name_finish,0,,,
tp_account_set_icon_name_finish,1,,,
tp_account_set_nickname_async,0,,,
tp_account_set_nickname_async,1,,NUL,
tp_account_set_nickname_async,2,,,
tp_account_set_nickname_async,3,,,
tp_account_set_nickname_finish,0,,,
tp_account_set_nickname_finish,1,,,
tp_account_set_service_async,0,,,
tp_account_set_service_async,1,,NUL,
tp_account_set_service_async,2,,,
tp_account_set_service_async,3,,,
tp_account_set_service_finish,0,,,
tp_account_set_service_finish,1,,,
tp_account_set_uri_scheme_association_async,0,,,
tp_account_set_uri_scheme_association_async,1,,NUL,
tp_account_set_uri_scheme_association_async,2,,,
tp_account_set_uri_scheme_association_async,3,,,
tp_account_set_uri_scheme_association_async,4,,,
tp_account_set_uri_scheme_association_finish,0,,,
tp_account_set_uri_scheme_association_finish,1,,,
tp_account_update_parameters_async,0,,,
tp_account_update_parameters_async,1,,,
tp_account_update_parameters_async,2,,,
tp_account_update_parameters_async,3,,,
tp_account_update_parameters_async,4,,,
tp_account_update_parameters_finish,0,,,
tp_account_update_parameters_finish,1,,,
tp_account_update_parameters_finish,2,,,
tp_account_update_parameters_vardict_async,0,,,
tp_account_update_parameters_vardict_async,1,,,
tp_account_update_parameters_vardict_async,2,,,
tp_account_update_parameters_vardict_async,3,,,
tp_account_update_parameters_vardict_async,4,,,
tp_account_update_parameters_vardict_finish,0,,,
tp_account_update_parameters_vardict_finish,1,,,
tp_account_update_parameters_vardict_finish,2,,,
tp_add_dispatch_operation_context_accept,0,,,
tp_add_dispatch_operation_context_delay,0,,,
tp_add_dispatch_operation_context_fail,0,,,
tp_add_dispatch_operation_context_fail,1,,,
tp_asv_dump,0,,,
tp_asv_get_boolean,0,,,
tp_asv_get_boolean,1,,,
tp_asv_get_boolean,2,,,
tp_asv_get_boxed,0,,,
tp_asv_get_boxed,1,,,
tp_asv_get_boxed,2,,,
tp_asv_get_bytes,0,,,
tp_asv_get_bytes,1,,,
tp_asv_get_double,0,,,
tp_asv_get_double,1,,,
tp_asv_get_double,2,,,
tp_asv_get_int32,0,,,
tp_asv_get_int32,1,,,
tp_asv_get_int32,2,,,
tp_asv_get_int64,0,,,
tp_asv_get_int64,1,,,
tp_asv_get_int64,2,,,
tp_asv_get_object_path,0,,,
tp_asv_get_object_path,1,,,
tp_asv_get_string,0,,,
tp_asv_get_string,1,,,
tp_asv_get_strv,0,,,
tp_asv_get_strv,1,,,
tp_asv_get_uint32,0,,,
tp_asv_get_uint32,1,,,
tp_asv_get_uint32,2,,,
tp_asv_get_uint64,0,,,
tp_asv_get_uint64,1,,,
tp_asv_get_uint64,2,,,
tp_asv_lookup,0,,,
tp_asv_lookup,1,,,
tp_asv_new,0,,NUL,
tp_asv_new,1,,,
tp_asv_set_boolean,0,,,
tp_asv_set_boolean,1,,,
tp_asv_set_boolean,2,,,
tp_asv_set_boxed,0,,,
tp_asv_set_boxed,1,,,
tp_asv_set_boxed,2,,,
tp_asv_set_boxed,3,,,
tp_asv_set_bytes,0,,,
tp_asv_set_bytes,1,,,
tp_asv_set_bytes,2,,,
tp_asv_set_bytes,3,,,
tp_asv_set_double,0,,,
tp_asv_set_double,1,,,
tp_asv_set_double,2,,,
tp_asv_set_int32,0,,,
tp_asv_set_int32,1,,,
tp_asv_set_int32,2,,,
tp_asv_set_int64,0,,,
tp_asv_set_int64,1,,,
tp_asv_set_int64,2,,,
tp_asv_set_object_path,0,,,
tp_asv_set_object_path,1,,,
tp_asv_set_object_path,2,,,
tp_asv_set_static_boxed,0,,,
tp_asv_set_static_boxed,1,,,
tp_asv_set_static_boxed,2,,,
tp_asv_set_static_boxed,3,,,
tp_asv_set_static_object_path,0,,,
tp_asv_set_static_object_path,1,,,
tp_asv_set_static_object_path,2,,,
tp_asv_set_static_string,0,,,
tp_asv_set_static_string,1,,,
tp_asv_set_static_string,2,,,
tp_asv_set_string,0,,,
tp_asv_set_string,1,,,
tp_asv_set_string,2,,,
tp_asv_set_strv,0,,,
tp_asv_set_strv,1,,,
tp_asv_set_strv,2,,,
tp_asv_set_uint32,0,,,
tp_asv_set_uint32,1,,,
tp_asv_set_uint32,2,,,
tp_asv_set_uint64,0,,,
tp_asv_set_uint64,1,,,
tp_asv_set_uint64,2,,,
tp_asv_take_boxed,0,,,
tp_asv_take_boxed,1,,,
tp_asv_take_boxed,2,,,
tp_asv_take_boxed,3,,,
tp_asv_take_bytes,0,,,
tp_asv_take_bytes,1,,,
tp_asv_take_bytes,2,,,
tp_asv_take_object_path,0,,,
tp_asv_take_object_path,1,,,
tp_asv_take_object_path,2,,,
tp_asv_take_string,0,,,
tp_asv_take_string,1,,,
tp_asv_take_string,2,,,
tp_avatar_requirements_copy,0,,,
tp_avatar_requirements_destroy,0,,,
tp_base_client_add_account_features,0,,,
tp_base_client_add_account_features,1,,,1
tp_base_client_add_account_features,2,,,
tp_base_client_add_account_features_varargs,0,,,
tp_base_client_add_account_features_varargs,1,,,
tp_base_client_add_account_features_varargs,2,,,
tp_base_client_add_approver_filter,0,,,
tp_base_client_add_approver_filter,1,,,
