function,slot,fixed,sentinel,symbolic
clutter_actor_remove_constraint,1,,,
clutter_actor_remove_constraint_by_name,0,,,
clutter_actor_remove_constraint_by_name,1,,NUL,
clutter_actor_remove_effect,0,,,
clutter_actor_remove_effect,1,,,
clutter_actor_remove_effect_by_name,0,,,
clutter_actor_remove_effect_by_name,1,,NUL,
clutter_actor_remove_transition,0,,,
clutter_actor_remove_transition,1,,NUL,
clutter_actor_reparent,0,,,
clutter_actor_reparent,1,,,
clutter_actor_replace_child,0,,,
clutter_actor_replace_child,1,,,
clutter_actor_replace_child,2,,,
clutter_actor_restore_easing_state,0,,,
clutter_actor_save_easing_state,0,,,
clutter_actor_set_allocation,0,,,
clutter_actor_set_allocation,1,,,
clutter_actor_set_allocation,2,,,
clutter_actor_set_anchor_point,0,,,
clutter_actor_set_anchor_point,1,,,
clutter_actor_set_anchor_point,2,,,
clutter_actor_set_anchor_point_from_gravity,0,,,
clutter_actor_set_anchor_point_from_gravity,1,,,
clutter_actor_set_background_color,0,,,
clutter_actor_set_background_color,1,,,
clutter_actor_set_child_above_sibling,0,,,
clutter_actor_set_child_above_sibling,1,,,
clutter_actor_set_child_above_sibling,2,,,
clutter_actor_set_child_at_index,0,,,
clutter_actor_set_child_at_index,1,,,
clutter_actor_set_child_at_index,2,,,
clutter_actor_set_child_below_sibling,0,,,
clutter_actor_set_child_below_sibling,1,,,
clutter_actor_set_child_below_sibling,2,,,
clutter_actor_set_child_transform,0,,,
clutter_actor_set_child_transform,1,,,
clutter_actor_set_clip,0,,,
clutter_actor_set_clip,1,,,
clutter_actor_set_clip,2,,,
clutter_actor_set_clip,3,,,
clutter_actor_set_clip,4,,,
clutter_actor_set_clip_to_allocation,0,,,
clutter_actor_set_clip_to_allocation,1,,,
clutter_actor_set_content,0,,,
clutter_actor_set_content,1,,,
clutter_actor_set_content_gravity,0,,,
clutter_actor_set_content_gravity,1,,,
clutter_actor_set_content_repeat,0,,,
clutter_actor_set_content_repeat,1,,,
clutter_actor_set_content_scaling_filters,0,,,
clutter_actor_set_content_scaling_filters,1,,,
clutter_actor_set_content_scaling_filters,2,,,
clutter_actor_set_depth,0,,,
clutter_actor_set_depth,1,,,
clutter_actor_set_easing_delay,0,,,
clutter_actor_set_easing_delay,1,,,
clutter_actor_set_easing_duration,0,,,
clutter_actor_set_easing_duration,1,,,
clutter_actor_set_easing_mode,0,,,
clutter_actor_set_easing_mode,1,,,
clutter_actor_set_fixed_position_set,0,,,
clutter_actor_set_fixed_position_set,1,,,
clutter_actor_set_flags,0,,,
clutter_actor_set_flags,1,,,
clutter_actor_set_geometry,0,,,
clutter_actor_set_geometry,1,,,
clutter_actor_set_height,0,,,
clutter_actor_set_height,1,,,
clutter_actor_set_layout_manager,0,,,
clutter_actor_set_layout_manager,1,,,
clutter_actor_set_margin,0,,,
clutter_actor_set_margin,1,,,
clutter_actor_set_margin_bottom,0,,,
clutter_actor_set_margin_bottom,1,,,
clutter_actor_set_margin_left,0,,,
clutter_actor_set_margin_left,1,,,
clutter_actor_set_margin_right,0,,,
clutter_actor_set_margin_right,1,,,
clutter_actor_set_margin_top,0,,,
clutter_actor_set_margin_top,1,,,
clutter_actor_set_name,0,,,
clutter_actor_set_name,1,,NUL,
clutter_actor_set_offscreen_redirect,0,,,
clutter_actor_set_offscreen_redirect,1,,,
clutter_actor_set_opacity,0,,,
clutter_actor_set_opacity,1,,,
clutter_actor_set_parent,0,,,
clutter_actor_set_parent,1,,,
clutter_actor_set_pivot_point,0,,,
clutter_actor_set_pivot_point,1,,,
clutter_actor_set_pivot_point,2,,,
clutter_actor_set_pivot_point_z,0,,,
clutter_actor_set_pivot_point_z,1,,,
clutter_actor_set_position,0,,,
clutter_actor_set_position,1,,,
clutter_actor_set_position,2,,,
clutter_actor_set_reactive,0,,,
clutter_actor_set_reactive,1,,,
clutter_actor_set_request_mode,0,,,
clutter_actor_set_request_mode,1,,,
clutter_actor_set_rotation,0,,,
clutter_actor_set_rotation,1,,,
clutter_actor_set_rotation,2,,,
clutter_actor_set_rotation,3,,,
clutter_actor_set_rotation,4,,,
clutter_actor_set_rotation,5,,,
clutter_actor_set_rotation_angle,0,,,
clutter_actor_set_rotation_angle,1,,,
clutter_actor_set_rotation_angle,2,,,
clutter_actor_set_scale,0,,,
clutter_actor_set_scale,1,,,
clutter_actor_set_scale,2,,,
clutter_actor_set_scale_full,0,,,
clutter_actor_set_scale_full,1,,,
clutter_actor_set_scale_full,2,,,
clutter_actor_set_scale_full,3,,,
clutter_actor_set_scale_full,4,,,
clutter_actor_set_scale_with_gravity,0,,,
clutter_actor_set_scale_with_gravity,1,,,
clutter_actor_set_scale_with_gravity,2,,,
clutter_actor_set_scale_with_gravity,3,,,
clutter_actor_set_scale_z,0,,,
clutter_actor_set_scale_z,1,,,
clutter_actor_set_shader,0,,,
clutter_actor_set_shader,1,,,
clutter_actor_set_shader_param,0,,,
clutter_actor_set_shader_param,1,,NUL,
clutter_actor_set_shader_param,2,,,
clutter_actor_set_shader_param_float,0,,,
clutter_actor_set_shader_param_float,1,,NUL,
clutter_actor_set_shader_param_float,2,,,
clutter_actor_set_shader_param_int,0,,,
clutter_actor_set_shader_param_int,1,,NUL,
clutter_actor_set_shader_param_int,2,,,
clutter_actor_set_size,0,,,
clutter_actor_set_size,1,,,
clutter_actor_set_size,2,,,
clutter_actor_set_text_direction,0,,,
clutter_actor_set_text_direction,1,,,
clutter_actor_set_transform,0,,,
clutter_actor_set_transform,1,,,
clutter_actor_set_translation,0,,,
clutter_actor_set_translation,1,,,
clutter_actor_set_translation,2,,,
clutter_actor_set_translation,3,,,
clutter_actor_set_width,0,,,
clutter_actor_set_width,1,,,
clutter_actor_set_x,0,,,
clutter_actor_set_x,1,,,
clutter_actor_set_x_align,0,,,
clutter_actor_set_x_align,1,,,
clutter_actor_set_x_expand,0,,,
clutter_actor_set_x_expand,1,,,
clutter_actor_set_y,0,,,
clutter_actor_set_y,1,,,
clutter_actor_set_y_align,0,,,
clutter_actor_set_y_align,1,,,
clutter_actor_set_y_expand,0,,,
clutter_actor_set_y_expand,1,,,
clutter_actor_set_z_position,0,,,
clutter_actor_set_z_position,1,,,
clutter_actor_set_z_rotation_from_gravity,0,,,
clutter_actor_set_z_rotation_from_gravity,1,,,
clutter_actor_set_z_rotation_from_gravity,2,,,
clutter_actor_should_pick_paint,0,,,
clutter_actor_show,0,,,
clutter_actor_show_all,0,,,
clutter_actor_transform_stage_point,0,,,
clutter_actor_transform_stage_point,1,,,
clutter_actor_transform_stage_point,2,,,
clutter_actor_transform_stage_point,3,,,
clutter_actor_transform_stage_point,4,,,
clutter_actor_unmap,0,,,
clutter_actor_unparent,0,,,
clutter_actor_unrealize,0,,,
clutter_actor_unset_flags,0,,,
clutter_actor_unset_flags,1,,,
clutter_align_constraint_get_align_axis,0,,,
clutter_align_constraint_get_factor,0,,,
clutter_align_constraint_get_source,0,,,
clutter_align_constraint_set_align_axis,0,,,
clutter_align_constraint_set_align_axis,1,,,
clutter_align_constraint_set_factor,0,,,
clutter_align_constraint_set_factor,1,,,
