function,slot,fixed,sentinel,symbolic
gtk_action_group_add_toggle_actions_full,2,,,
gtk_action_group_add_toggle_actions_full,3,,,
gtk_action_group_add_toggle_actions_full,4,,,
gtk_action_group_get_accel_group,0,,,
gtk_action_group_get_action,0,,,
gtk_action_group_get_action,1,,NUL,
gtk_action_group_get_name,0,,,
gtk_action_group_get_sensitive,0,,,
gtk_action_group_get_visible,0,,,
gtk_action_group_list_actions,0,,,
gtk_action_group_remove_action,0,,,
gtk_action_group_remove_action,1,,,
gtk_action_group_set_accel_group,0,,,
gtk_action_group_set_accel_group,1,,,
gtk_action_group_set_sensitive,0,,,
gtk_action_group_set_sensitive,1,,,
gtk_action_group_set_translate_func,0,,,
gtk_action_group_set_translate_func,1,,,
gtk_action_group_set_translate_func,2,,,
gtk_action_group_set_translate_func,3,,,
gtk_action_group_set_translation_domain,0,,,
gtk_action_group_set_translation_domain,1,,NUL,
gtk_action_group_set_visible,0,,,
gtk_action_group_set_visible,1,,,
gtk_action_group_translate_string,0,,,
gtk_action_group_translate_string,1,,NUL,
gtk_action_is_sensitive,0,,,
gtk_action_is_visible,0,,,
gtk_action_set_accel_group,0,,,
gtk_action_set_accel_group,1,,,
gtk_action_set_accel_path,0,,,
gtk_action_set_accel_path,1,,NUL,
gtk_action_set_always_show_image,0,,,
gtk_action_set_always_show_image,1,,,
gtk_action_set_gicon,0,,,
gtk_action_set_gicon,1,,,
gtk_action_set_icon_name,0,,,
gtk_action_set_icon_name,1,,NUL,
gtk_action_set_is_important,0,,,
gtk_action_set_is_important,1,,,
gtk_action_set_label,0,,,
gtk_action_set_label,1,,NUL,
gtk_action_set_sensitive,0,,,
gtk_action_set_sensitive,1,,,
gtk_action_set_short_label,0,,,
gtk_action_set_short_label,1,,NUL,
gtk_action_set_stock_id,0,,,
gtk_action_set_stock_id,1,,NUL,
gtk_action_set_tooltip,0,,,
gtk_action_set_tooltip,1,,NUL,
gtk_action_set_visible,0,,,
gtk_action_set_visible,1,,,
gtk_action_set_visible_horizontal,0,,,
gtk_action_set_visible_horizontal,1,,,
gtk_action_set_visible_vertical,0,,,
gtk_action_set_visible_vertical,1,,,
gtk_action_unblock_activate,0,,,
gtk_actionable_get_action_name,0,,,
gtk_actionable_get_action_target_value,0,,,
gtk_actionable_set_action_name,0,,,
gtk_actionable_set_action_name,1,,NUL,
gtk_actionable_set_action_target,0,,,
gtk_actionable_set_action_target,1,,NUL,
gtk_actionable_set_action_target,2,,,
gtk_actionable_set_action_target_value,0,,,
gtk_actionable_set_action_target_value,1,,,
gtk_actionable_set_detailed_action_name,0,,,
gtk_actionable_set_detailed_action_name,1,,NUL,
gtk_activatable_do_set_related_action,0,,,
gtk_activatable_do_set_related_action,1,,,
gtk_activatable_get_related_action,0,,,
gtk_activatable_get_use_action_appearance,0,,,
gtk_activatable_set_related_action,0,,,
gtk_activatable_set_related_action,1,,,
gtk_activatable_set_use_action_appearance,0,,,
gtk_activatable_set_use_action_appearance,1,,,
gtk_activatable_sync_action_properties,0,,,
gtk_activatable_sync_action_properties,1,,,
gtk_adjustment_changed,0,,,
gtk_adjustment_clamp_page,0,,,
gtk_adjustment_clamp_page,1,,,
gtk_adjustment_clamp_page,2,,,
gtk_adjustment_configure,0,,,
gtk_adjustment_configure,1,,,
gtk_adjustment_configure,2,,,
gtk_adjustment_configure,3,,,
gtk_adjustment_configure,4,,,
gtk_adjustment_configure,5,,,
gtk_adjustment_configure,6,,,
gtk_adjustment_get_lower,0,,,
gtk_adjustment_get_minimum_increment,0,,,
gtk_adjustment_get_page_increment,0,,,
gtk_adjustment_get_page_size,0,,,
gtk_adjustment_get_step_increment,0,,,
gtk_adjustment_get_upper,0,,,
gtk_adjustment_get_value,0,,,
gtk_adjustment_set_lower,0,,,
gtk_adjustment_set_lower,1,,,
gtk_adjustment_set_page_increment,0,,,
gtk_adjustment_set_page_increment,1,,,
gtk_adjustment_set_page_size,0,,,
gtk_adjustment_set_page_size,1,,,
gtk_adjustment_set_step_increment,0,,,
gtk_adjustment_set_step_increment,1,,,
gtk_adjustment_set_upper,0,,,
gtk_adjustment_set_upper,1,,,
gtk_adjustment_set_value,0,,,
gtk_adjustment_set_value,1,,,
gtk_adjustment_value_changed,0,,,
gtk_alignment_get_padding,0,,,
gtk_alignment_get_padding,1,,,
gtk_alignment_get_padding,2,,,
gtk_alignment_get_padding,3,,,
gtk_alignment_get_padding,4,,,
